Year,HC All,HC Office,HC Lab,HC Manufacturing,Collaborations,Growth Rate,Growth,Locations High FTE,Locations Low FTE,Commercial,Planned Collaborations,Combined Programs,International Expansion,China Expansion,Phase 3 Trial,Commercial Partnered Programs
2022,518,247,268,3,3,0.1,131,2,2,0,0.5,15,1,0,1,0
2023,595,271,294,30,4,0.15,129,2,2,0,0.5,23,1,1,1,0
2024,715,325,352,38,4,0.2,180,3,1,0,0.5,22,1,1,2,0
2025,727,331,358,38,5,0.02,84,3,1,1,0.5,26,1,1,3,1
2026,764,348,377,38,5,0.05,73,3,1,1,0.5,29,2,1,4,1
2027,802,367,397,38,6,0.05,76,3,1,1,0.5,29,2,1,3,1
2028,842,386,418,38,6,0.05,120,3,1,1,0.5,29,2,1,2,1
2029,884,406,440,38,6,0.05,126,3,1,1,0.5,29,2,1,2,1
2030,928,427,463,38,7,0.05,132,3,1,1,0.5,29,2,1,2,1
2031,975,450,487,38,8,0.05,140,3,1,1,0.5,29,2,1,2,1
